Cell line primary name,Site Primary,Cell line aliases,Gender,Histology,Source
1321N1,central_nervous_system,,M,glioma,ECACC
143B,bone,,F,osteosarcoma,ATCC
22Rv1,prostate,,M,carcinoma,ATCC
23132/87,stomach,,M,carcinoma,DSMZ
42-MG-BA,central_nervous_system,,M,glioma,DSMZ
5637,urinary_tract,,M,carcinoma,ATCC
59M,ovary,,F,carcinoma,ECACC
639-V,urinary_tract,,M,carcinoma,DSMZ
647-V,urinary_tract,,M,carcinoma,DSMZ
697,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
769-P,kidney,,F,carcinoma,ATCC
786-O,kidney,786-0,M,carcinoma,ATCC
8305C,thyroid,,F,carcinoma,DSMZ
8505C,thyroid,,F,carcinoma,HSRRB
8-MG-BA,central_nervous_system,,F,glioma,DSMZ
A101D,skin,,M,malignant_melanoma,ATCC
A172,central_nervous_system,,M,glioma,ATCC
A-204,soft_tissue,,F,rhabdoid_tumour,ATCC
A2058,skin,,M,malignant_melanoma,ATCC
A-253,salivary_gland,,M,carcinoma,ATCC
A2780,ovary,,F,carcinoma,ECACC
A-375,skin,,F,malignant_melanoma,ATCC
A3/KAW,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,HSRRB
A-498,kidney,,F,carcinoma,ATCC
A4/Fuk,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,HSRRB
A549,lung,,M,carcinoma,ATCC
A-673,bone,,F,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,ATCC
A-704,kidney,,M,carcinoma,ATCC
ABC-1,lung,,M,carcinoma,HSRRB
ACHN,kidney,,M,carcinoma,ATCC
AGS,stomach,,F,carcinoma,ATCC
Alexander cells,liver,,M,carcinoma,HSRRB
ALL-SIL,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
AM-38,central_nervous_system,,M,glioma,HSRRB
AML-193,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,ATCC
AMO-1,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
AN3 CA,endometrium,,F,carcinoma,ATCC
AsPC-1,pancreas,,F,carcinoma,ATCC
AU565,breast,,F,carcinoma,ATCC
BC-3C,urinary_tract,,F,carcinoma,DSMZ
BCP-1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
B-CPAP,thyroid,,F,carcinoma,DSMZ
BDCM,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
Becker,central_nervous_system,,M,glioma,HSRRB
BEN,lung,,M,carcinoma,DSMZ
BFTC-905,urinary_tract,,F,carcinoma,DSMZ
BFTC-909,kidney,,M,carcinoma,DSMZ
BHT-101,thyroid,,F,carcinoma,DSMZ
BHY,upper_aerodigestive_tract,,M,carcinoma,DSMZ
BICR 16,upper_aerodigestive_tract,,M,carcinoma,ECACC
BICR 18,upper_aerodigestive_tract,,M,carcinoma,ECACC
BICR 22,upper_aerodigestive_tract,,M,carcinoma,ECACC
BICR 31,upper_aerodigestive_tract,,M,carcinoma,ECACC
BICR 56,upper_aerodigestive_tract,,F,carcinoma,ECACC
BICR 6,upper_aerodigestive_tract,,M,carcinoma,ECACC
BL-41,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
BL-70,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
BT-20,breast,,F,carcinoma,ATCC
BT-474,breast,,F,carcinoma,ATCC
BT-483,breast,,F,carcinoma,ATCC
BT-549,breast,,F,carcinoma,ATCC
BV-173,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
BxPC-3,pancreas,,F,carcinoma,ATCC
C2BBe1,large_intestine,,M,carcinoma,ATCC
C32,skin,,M,malignant_melanoma,ATCC
C3A,liver,,M,carcinoma,ATCC
CA46,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
CADO-ES1,bone,,F,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,DSMZ
Caki-1,kidney,,M,carcinoma,ATCC
Caki-2,kidney,,M,carcinoma,ATCC
CAL-120,breast,,F,carcinoma,DSMZ
CAL-12T,lung,,M,carcinoma,DSMZ
CAL-148,breast,,F,carcinoma,DSMZ
CAL 27,upper_aerodigestive_tract,,M,carcinoma,ATCC
CAL-29,urinary_tract,,F,carcinoma,DSMZ
CAL-33,upper_aerodigestive_tract,,M,carcinoma,DSMZ
CAL-51,breast,,F,carcinoma,DSMZ
CAL-54,kidney,,M,carcinoma,DSMZ
CAL-62,thyroid,,F,carcinoma,DSMZ
CAL-78,bone,,M,chondrosarcoma,DSMZ
CAL-85-1,breast,,F,carcinoma,DSMZ
Calu-1,lung,,M,carcinoma,ATCC
